engine_id,cycle,RUL,sequence_idx
1,30,162,0
1,31,161,1
1,32,160,2
1,33,159,3
1,34,158,4
1,35,157,5
1,36,156,6
1,37,155,7
1,38,154,8
1,39,153,9
1,40,152,10
1,41,151,11
1,42,150,12
1,43,149,13
1,44,148,14
1,45,147,15
1,46,146,16
1,47,145,17
1,48,144,18
1,49,143,19
1,50,142,20
1,51,141,21
1,52,140,22
1,53,139,23
1,54,138,24
1,55,137,25
1,56,136,26
1,57,135,27
1,58,134,28
1,59,133,29
1,60,132,30
1,61,131,31
1,62,130,32
1,63,129,33
1,64,128,34
1,65,127,35
1,66,126,36
1,67,125,37
1,68,124,38
1,69,123,39
1,70,122,40
1,71,121,41
1,72,120,42
1,73,119,43
1,74,118,44
1,75,117,45
1,76,116,46
1,77,115,47
1,78,114,48
1,79,113,49
1,80,112,50
1,81,111,51
1,82,110,52
1,83,109,53
1,84,108,54
1,85,107,55
1,86,106,56
1,87,105,57
1,88,104,58
1,89,103,59
1,90,102,60
1,91,101,61
1,92,100,62
1,93,99,63
1,94,98,64
1,95,97,65
1,96,96,66
1,97,95,67
1,98,94,68
1,99,93,69
1,100,92,70
1,101,91,71
1,102,90,72
1,103,89,73
1,104,88,74
1,105,87,75
1,106,86,76
1,107,85,77
1,108,84,78
1,109,83,79
1,110,82,80
1,111,81,81
1,112,80,82
1,113,79,83
1,114,78,84
1,115,77,85
1,116,76,86
1,117,75,87
1,118,74,88
1,119,73,89
1,120,72,90
1,121,71,91
1,122,70,92
1,123,69,93
1,124,68,94
1,125,67,95
1,126,66,96
1,127,65,97
1,128,64,98
1,129,63,99
1,130,62,100
1,131,61,101
1,132,60,102
1,133,59,103
1,134,58,104
1,135,57,105
1,136,56,106
1,137,55,107
1,138,54,108
1,139,53,109
1,140,52,110
1,141,51,111
1,142,50,112
1,143,49,113
1,144,48,114
1,145,47,115
1,146,46,116
1,147,45,117
1,148,44,118
1,149,43,119
1,150,42,120
1,151,41,121
1,152,40,122
1,153,39,123
1,154,38,124
1,155,37,125
1,156,36,126
1,157,35,127
1,158,34,128
1,159,33,129
1,160,32,130
1,161,31,131
1,162,30,132
1,163,29,133
1,164,28,134
1,165,27,135
1,166,26,136
1,167,25,137
1,168,24,138
1,169,23,139
1,170,22,140
1,171,21,141
1,172,20,142
1,173,19,143
1,174,18,144
1,175,17,145
1,176,16,146
1,177,15,147
1,178,14,148
1,179,13,149
1,180,12,150
1,181,11,151
1,182,10,152
1,183,9,153
1,184,8,154
1,185,7,155
1,186,6,156
1,187,5,157
1,188,4,158
1,189,3,159
1,190,2,160
1,191,1,161
1,192,0,162
2,30,257,163
2,31,256,164
2,32,255,165
2,33,254,166
2,34,253,167
2,35,252,168
2,36,251,169
2,37,250,170
2,38,249,171
2,39,248,172
2,40,247,173
2,41,246,174
2,42,245,175
2,43,244,176
2,44,243,177
2,45,242,178
2,46,241,179
2,47,240,180
2,48,239,181
2,49,238,182
2,50,237,183
2,51,236,184
2,52,235,185
2,53,234,186
2,54,233,187
2,55,232,188
2,56,231,189
2,57,230,190
2,58,229,191
2,59,228,192
2,60,227,193
2,61,226,194
2,62,225,195
2,63,224,196
2,64,223,197
2,65,222,198
2,66,221,199
2,67,220,200
2,68,219,201
2,69,218,202
2,70,217,203
2,71,216,204
2,72,215,205
2,73,214,206
2,74,213,207
2,75,212,208
2,76,211,209
2,77,210,210
2,78,209,211
2,79,208,212
2,80,207,213
2,81,206,214
2,82,205,215
2,83,204,216
2,84,203,217
2,85,202,218
2,86,201,219
2,87,200,220
2,88,199,221
2,89,198,222
2,90,197,223
2,91,196,224
2,92,195,225
2,93,194,226
2,94,193,227
2,95,192,228
2,96,191,229
2,97,190,230
2,98,189,231
2,99,188,232
2,100,187,233
2,101,186,234
2,102,185,235
2,103,184,236
2,104,183,237
2,105,182,238
2,106,181,239
2,107,180,240
2,108,179,241
2,109,178,242
2,110,177,243
2,111,176,244
2,112,175,245
2,113,174,246
2,114,173,247
2,115,172,248
2,116,171,249
2,117,170,250
2,118,169,251
2,119,168,252
2,120,167,253
2,121,166,254
2,122,165,255
2,123,164,256
2,124,163,257
2,125,162,258
2,126,161,259
2,127,160,260
2,128,159,261
2,129,158,262
2,130,157,263
2,131,156,264
2,132,155,265
2,133,154,266
2,134,153,267
2,135,152,268
2,136,151,269
2,137,150,270
2,138,149,271
2,139,148,272
2,140,147,273
2,141,146,274
2,142,145,275
2,143,144,276
2,144,143,277
2,145,142,278
2,146,141,279
2,147,140,280
2,148,139,281
2,149,138,282
2,150,137,283
2,151,136,284
2,152,135,285
2,153,134,286
2,154,133,287
2,155,132,288
2,156,131,289
2,157,130,290
2,158,129,291
2,159,128,292
2,160,127,293
2,161,126,294
